DataVenda;ValorVenda;IdFormaDePagamento;FormaPagamento;TipoFormaPagamento;NumeroParcelas;Cliente_Codigo;Cliente_Data_Nascimento;UF_Cliente;CanalVenda
2011-04-10 08:48:00;59,00;2;Visa;Cartão de Crédito;2;146;1976-01-17;ES;xptoourbermudackj
2011-07-21 10:35:00;259,90;1;Boleto Bancário;Boleto Bancário;1;146;1976-01-17;ES;xptockjH
2011-07-01 17:11:00;168,00;2;Visa;Cartão de Crédito;4;161;1976-07-09;BA;
2011-04-07 22:30:00;388,00;1;Boleto Bancário;Boleto Bancário;1;161;1976-07-09;BA;xptoLSm2
2011-04-08 13:05:00;388,00;1;Boleto Bancário;Boleto Bancário;1;161;1976-07-09;BA;
2011-05-19 12:42:00;398,00;1;Boleto Bancário;Boleto Bancário;1;161;1976-07-09;BA;
2011-05-20 01:49:00;843,00;2;Visa;Cartão de Crédito;1;205;1978-06-18;RJ;blog
2011-05-27 07:35:00;385,00;2;Visa;Cartão de Crédito;1;205;1978-06-18;RJ;
2011-06-06 01:10:00;395,00;2;Visa;Cartão de Crédito;1;205;1978-06-18;RJ;
2011-06-06 01:24:00;395,00;3;MasterCard;Cartão de Crédito;1;205;1978-06-18;RJ;
2011-04-19 16:21:00;119,00;1;Boleto Bancário;Boleto Bancário;1;205;1978-06-18;RJ;xptonkm
2011-04-27 08:37:00;618,00;1;Boleto Bancário;Boleto Bancário;1;205;1978-06-18;RJ;T-Shirt
2011-03-29 17:37:00;286,50;2;Visa;Cartão de Crédito;1;205;1978-06-18;RJ;braddock
2011-01-16 18:04:00;306,00;1;Boleto Bancário;Boleto Bancário;1;205;1978-06-18;RJ;
2011-02-06 12:29:00;451,50;2;Visa;Cartão de Crédito;1;205;1978-06-18;RJ;descontobrabo
2011-08-08 11:53:00;208,00;2;Visa;Cartão de Crédito;1;205;1978-06-18;RJ;
2011-04-12 15:09:00;419,30;2;Visa;Cartão de Crédito;10;223;1977-01-29;SC;xptoCDm
2011-04-10 09:40:00;2036,00;1;Boleto Bancário;Boleto Bancário;1;224;1977-01-21;SP;
2011-04-28 07:33:00;2070,00;3;MasterCard;Cartão de Crédito;1;224;1977-01-21;SP;
2011-06-09 08:03:00;1404,00;3;MasterCard;Cartão de Crédito;2;224;1977-01-21;SP;xptockjpH
2011-01-19 08:59:00;1896,90;1;Boleto Bancário;Boleto Bancário;1;224;1977-01-21;SP;
2011-01-29 09:13:00;802,00;2;Visa;Cartão de Crédito;1;224;1977-01-21;SP;
2011-03-24 12:26:00;469,00;6;Cupom de Desconto;Cupom;1;224;1977-01-21;SP;
2011-03-25 11:19:00;734,00;6;Cupom de Desconto;Cupom;1;224;1977-01-21;SP;
2011-07-21 07:23:00;1586,90;1;Boleto Bancário;Boleto Bancário;1;224;1977-01-21;SP;xptomvopH
2011-05-19 14:07:00;993,00;2;Visa;Cartão de Crédito;1;232;1980-10-11;SP;
2011-05-17 12:06:00;1250,00;2;Visa;Cartão de Crédito;1;232;1980-10-11;SP;
2011-07-06 14:13:00;476,00;2;Visa;Cartão de Crédito;6;240;1985-12-03;GO;xptotmckjH
2011-06-25 20:53:00;199,00;2;Visa;Cartão de Crédito;3;241;1990-05-28;RO;
2011-08-17 12:15:00;72,293;1;Boleto Bancário;Boleto Bancário;1;249;1973-12-09;BA;
2011-08-22 14:35:00;79,30;2;Visa;Cartão de Crédito;0;249;1973-12-09;BA;
2011-04-25 08:08:00;63,00;4;Diners;Cartão de Crédito;1;249;1973-12-09;BA;
2011-04-26 11:05:00;69,00;1;Boleto Bancário;Boleto Bancário;1;249;1973-12-09;BA;
2011-04-14 16:03:00;63,00;3;MasterCard;Cartão de Crédito;1;249;1973-12-09;BA;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-03-31 10:39:00;298,00;2;Visa;Cartão de Crédito;1;249;1973-12-09;BA;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-03-31 11:03:00;89,00;3;MasterCard;Cartão de Crédito;1;249;1973-12-09;BA;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-02-25 11:47:00;529,00;2;Visa;Cartão de Crédito;1;249;1973-12-09;BA;ColunaNcl
2011-07-24 23:33:00;154,90;2;Visa;Cartão de Crédito;3;250;1988-12-06;RS;xptockjH2
2011-03-24 15:25:00;199,00;3;MasterCard;Cartão de Crédito;1;255;1957-11-01;SP;xptoourceprlckj
2011-02-24 19:10:00;186,75;2;Visa;Cartão de Crédito;1;265;1982-08-18;SP;xptoourMasc2
2011-03-14 12:07:00;239,00;2;Visa;Cartão de Crédito;4;268;1983-03-12;MA;xptoourzlmh
2011-01-27 13:05:00;297,00;2;Visa;Cartão de Crédito;4;268;1983-03-12;MA;xptoourMasc1
2011-02-02 22:05:00;489,93;2;Visa;Cartão de Crédito;6;268;1983-03-12;MA;xptoourNcl1
2011-07-23 13:33:00;577,00;2;Visa;Cartão de Crédito;6;268;1983-03-12;MA;xptoprldnH
2011-07-17 13:10:00;420,00;1;Boleto Bancário;Boleto Bancário;1;268;1983-03-12;MA;xptoguessNCL
2011-07-15 12:46:00;166,80;2;Visa;Cartão de Crédito;4;268;1983-03-12;MA;xptoguessH
2011-08-04 17:36:00;322,90;2;Visa;Cartão de Crédito;4;275;1969-07-12;MT;
2011-02-28 12:25:00;219,00;2;Visa;Cartão de Crédito;3;275;1969-07-12;MT;
2011-05-07 19:39:00;308,00;2;Visa;Cartão de Crédito;4;275;1969-07-12;MT;xptockj
2011-05-30 13:43:00;199,00;2;Visa;Cartão de Crédito;4;275;1969-07-12;MT;xptoopvM
2011-07-20 09:30:00;149,30;2;Visa;Cartão de Crédito;3;294;1978-03-11;SP;xptomvopH
2011-07-20 21:47:00;149,30;2;Visa;Cartão de Crédito;3;294;1978-03-11;SP;google
2011-08-28 14:42:00;178,00;2;Visa;Cartão de Crédito;4;311;1972-09-15;DF;
2011-03-05 00:38:00;59,00;2;Visa;Cartão de Crédito;2;327;1986-10-21;MT;
2011-01-24 11:43:00;175,12;3;MasterCard;Cartão de Crédito;8;336;1974-04-20;PE;unibanco
2011-06-01 11:45:00;269,00;2;Visa;Cartão de Crédito;1;337;1976-05-03;RJ;xptojH
2011-05-31 11:16:00;199,00;1;Boleto Bancário;Boleto Bancário;1;337;1976-05-03;RJ;
2011-01-30 22:22:00;282,00;1;Boleto Bancário;Boleto Bancário;1;344;1980-08-04;DF;
2011-01-31 14:49:00;141,00;1;Boleto Bancário;Boleto Bancário;1;344;1980-08-04;DF;
2011-08-23 22:37:00;189,00;1;Boleto Bancário;Boleto Bancário;1;344;1980-08-04;DF;
2011-07-20 09:07:00;149,30;1;Boleto Bancário;Boleto Bancário;1;344;1980-08-04;DF;xptomvopNCL
2011-07-27 12:06:00;80,70;1;Boleto Bancário;Boleto Bancário;1;344;1980-08-04;DF;xptotbNCL
2011-07-29 11:36:00;184,30;1;Boleto Bancário;Boleto Bancário;1;344;1980-08-04;DF;xptocsNCL
2011-03-21 16:48:00;69,00;1;Boleto Bancário;Boleto Bancário;1;347;1986-05-17;TO;
2011-03-29 17:34:00;48,00;1;Boleto Bancário;Boleto Bancário;1;347;1986-05-17;TO;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-06-02 10:23:00;99,90;1;Boleto Bancário;Boleto Bancário;1;347;1986-05-17;TO;xptockjf
2011-03-21 10:40:00;236,00;2;Visa;Cartão de Crédito;10;349;1986-11-13;MG;xptoourmascprll
2011-03-17 00:01:00;314,00;1;Boleto Bancário;Boleto Bancário;1;372;1974-09-11;SP;twitter
2011-03-08 01:41:00;319,00;1;Boleto Bancário;Boleto Bancário;1;372;1974-09-11;SP;twitter
2011-08-02 12:51:00;165,40;1;Boleto Bancário;Boleto Bancário;1;378;1979-10-03;RS;google
2011-03-01 01:08:00;471,00;2;Visa;Cartão de Crédito;1;399;1989-07-06;RJ;yahoo
2011-08-09 00:25:00;217,90;3;MasterCard;Cartão de Crédito;3;409;1991-11-21;MA;
2011-06-27 19:52:00;356,00;3;MasterCard;Cartão de Crédito;6;411;1962-08-29;MG;xptockjpH
2011-03-22 20:56:00;219,00;3;MasterCard;Cartão de Crédito;7;421;1982-06-02;RJ;
2011-01-13 19:30:00;299,00;3;MasterCard;Cartão de Crédito;10;421;1982-06-02;RJ;
2011-06-08 09:41:00;784,00;3;MasterCard;Cartão de Crédito;10;421;1982-06-02;RJ;xpto06H
2011-06-07 11:19:00;784,00;3;MasterCard;Cartão de Crédito;10;421;1982-06-02;RJ;xptojH
2011-04-13 21:03:00;216,00;3;MasterCard;Cartão de Crédito;10;421;1982-06-02;RJ;
2011-07-26 12:20:00;1926,70;2;Visa;Cartão de Crédito;10;433;1987-02-10;PR;
2011-07-19 19:36:00;198,30;3;MasterCard;Cartão de Crédito;4;443;1962-09-21;RJ;
2011-03-15 22:04:00;249,00;2;Visa;Cartão de Crédito;6;443;1962-09-21;RJ;google
2011-01-19 10:57:00;664,00;2;Visa;Cartão de Crédito;10;452;1975-10-04;SP;xptoourNcl
2011-06-07 20:59:00;744,30;3;MasterCard;Cartão de Crédito;10;455;1973-11-01;SP;
2011-05-23 16:36:00;425,70;3;MasterCard;Cartão de Crédito;10;455;1973-11-01;SP;
2011-05-23 20:49:00;410,40;3;MasterCard;Cartão de Crédito;10;455;1973-11-01;SP;
2011-08-16 19:36:00;255,00;2;Visa;Cartão de Crédito;6;455;1973-11-01;SP;
2011-07-21 00:24:00;219,40;1;Boleto Bancário;Boleto Bancário;1;457;1964-07-21;RJ;xptomvopH
2011-04-13 19:30:00;659,00;1;Boleto Bancário;Boleto Bancário;1;457;1964-07-21;RJ;xptockjf
2011-06-12 23:15:00;688,00;3;MasterCard;Cartão de Crédito;3;469;1989-11-06;AL;google
2011-01-25 17:07:00;357,00;3;MasterCard;Cartão de Crédito;4;469;1989-11-06;AL;
2011-02-11 12:54:00;232,90;3;MasterCard;Cartão de Crédito;10;473;1956-03-10;RJ;google
2011-03-23 09:45:00;109,00;2;Visa;Cartão de Crédito;2;480;1972-02-17;SP;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-05-11 17:02:00;88,40;2;Visa;Cartão de Crédito;1;488;1979-05-24;ES;xptosfolder
2011-07-21 09:44:00;149,30;1;Boleto Bancário;Boleto Bancário;1;499;1984-04-04;RS;xptockjH
2011-06-22 13:52:00;299,00;2;Visa;Cartão de Crédito;1;507;1977-06-12;SP;google
2011-08-22 17:32:00;644,20;2;Visa;Cartão de Crédito;4;514;1981-07-20;RJ;
2011-01-12 13:35:00;513,00;1;Boleto Bancário;Boleto Bancário;1;536;1988-08-27;SC;
2011-01-12 17:42:00;195,00;2;Visa;Cartão de Crédito;9;549;1988-04-05;SP;
2011-05-15 01:53:00;279,00;2;Visa;Cartão de Crédito;10;549;1988-04-05;SP;
2011-07-27 21:09:00;205,30;2;Visa;Cartão de Crédito;5;549;1988-04-05;SP;
2011-03-03 21:03:00;58,65;3;MasterCard;Cartão de Crédito;2;554;1987-04-30;SP;ClubMapfre
2011-08-01 14:37:00;254,30;2;Visa;Cartão de Crédito;6;564;1982-02-18;RJ;google
2011-08-11 16:28:00;197,60;1;Boleto Bancário;Boleto Bancário;1;567;1985-08-16;RJ;xptotoprlH
2011-06-24 00:18:00;644,00;1;Boleto Bancário;Boleto Bancário;1;576;1985-05-24;PA;xptoskbH
2011-06-24 11:51:00;599,00;1;Boleto Bancário;Boleto Bancário;1;576;1985-05-24;PA;xptoskbH
2011-05-22 03:54:00;281,00;1;Boleto Bancário;Boleto Bancário;1;576;1985-05-24;PA;
2011-02-11 04:05:00;70,55;3;MasterCard;Cartão de Crédito;2;594;1989-10-08;SP;xptosfolder
2011-03-17 02:10:00;321,00;2;Visa;Cartão de Crédito;1;605;1980-07-19;CE;
2011-03-27 22:56:00;278,00;1;Boleto Bancário;Boleto Bancário;1;608;1976-03-02;RS;
2011-05-29 01:39:00;810,00;1;Boleto Bancário;Boleto Bancário;1;608;1976-03-02;RS;
2011-06-09 08:43:00;381,00;1;Boleto Bancário;Boleto Bancário;1;608;1976-03-02;RS;xptockjprlH
2011-07-18 20:30:00;125,30;1;Boleto Bancário;Boleto Bancário;1;608;1976-03-02;RS;AviseMe
2011-08-01 12:49:00;364,90;1;Boleto Bancário;Boleto Bancário;1;608;1976-03-02;RS;xptoprldnH
2011-07-30 08:28:00;211,60;1;Boleto Bancário;Boleto Bancário;1;608;1976-03-02;RS;xptoprldnH
2011-07-21 11:34:00;351,60;2;Visa;Cartão de Crédito;1;615;1984-04-05;PA;
2011-07-09 11:35:00;605,00;2;Visa;Cartão de Crédito;1;615;1984-04-05;PA;
2011-06-10 13:17:00;691,00;3;MasterCard;Cartão de Crédito;1;615;1984-04-05;PA;
2011-06-09 22:28:00;260,00;2;Visa;Cartão de Crédito;6;616;1977-07-06;SP;google
2011-06-15 03:26:00;116,00;1;Boleto Bancário;Boleto Bancário;1;618;1987-04-04;MT;
2011-06-20 15:41:00;116,00;1;Boleto Bancário;Boleto Bancário;1;618;1987-04-04;MT;
2011-05-02 09:32:00;378,00;3;MasterCard;Cartão de Crédito;3;628;1978-08-16;RJ;
2011-03-14 00:24:00;79,00;3;MasterCard;Cartão de Crédito;3;632;1969-07-25;DF;google
2011-01-24 18:53:00;119,00;2;Visa;Cartão de Crédito;3;640;1960-01-07;PE;
2011-02-25 16:58:00;243,10;3;MasterCard;Cartão de Crédito;8;645;1967-03-20;PE;ColunaMas1
2011-02-26 13:10:00;243,10;2;Visa;Cartão de Crédito;8;645;1967-03-20;PE;ColunaMas1
2011-07-14 18:51:00;356,15;2;Visa;Cartão de Crédito;6;645;1967-03-20;PE;xptosfolder
2011-08-21 13:56:00;278,60;3;MasterCard;Cartão de Crédito;6;645;1967-03-20;PE;
2011-03-02 15:55:00;283,00;1;Boleto Bancário;Boleto Bancário;1;648;1967-06-29;BA;
2011-04-17 20:00:00;89,00;3;MasterCard;Cartão de Crédito;4;658;1986-03-31;SP;
2011-04-14 13:49:00;389,00;3;MasterCard;Cartão de Crédito;2;659;1978-02-15;SP;xptocamisasutm_medium=Newsletter
2011-05-11 08:38:00;2002,00;3;MasterCard;Cartão de Crédito;4;659;1978-02-15;SP;xptocasa
2011-06-10 08:05:00;711,00;3;MasterCard;Cartão de Crédito;2;659;1978-02-15;SP;xptocasa
2011-03-15 12:34:00;327,00;3;MasterCard;Cartão de Crédito;2;659;1978-02-15;SP;xptoourpumaGm
2011-01-21 15:33:00;656,00;2;Visa;Cartão de Crédito;1;659;1978-02-15;SP;AviseMe
2011-07-20 09:14:00;2150,60;3;MasterCard;Cartão de Crédito;2;659;1978-02-15;SP;
2011-07-04 13:08:00;1281,00;3;MasterCard;Cartão de Crédito;4;659;1978-02-15;SP;
2011-07-29 13:58:00;821,30;3;MasterCard;Cartão de Crédito;1;659;1978-02-15;SP;AviseMe
2011-08-04 12:56:00;789,80;2;Visa;Cartão de Crédito;1;659;1978-02-15;SP;AviseMe
2011-08-18 12:50:00;209,20;2;Visa;Cartão de Crédito;1;659;1978-02-15;SP;blog
2011-03-15 22:33:00;378,90;2;Visa;Cartão de Crédito;5;671;1983-02-18;RJ;xptoourMasc1
2011-03-30 00:53:00;300,00;1;Boleto Bancário;Boleto Bancário;1;672;1981-08-28;SP;xptoourMasc1
2011-02-07 15:41:00;138,00;3;MasterCard;Cartão de Crédito;6;672;1981-08-28;SP;xptoourMasc1
2011-05-25 09:56:00;251,00;1;Boleto Bancário;Boleto Bancário;1;672;1981-08-28;SP;xptorH
2011-06-03 17:21:00;487,00;2;Visa;Cartão de Crédito;10;674;1976-09-17;PB;
2011-02-02 13:26:00;139,00;2;Visa;Cartão de Crédito;6;676;1982-05-15;AL;
2011-07-22 10:38:00;581,20;3;MasterCard;Cartão de Crédito;5;692;1979-08-11;SP;xptoprldnH2
2011-07-07 12:54:00;239,40;2;Visa;Cartão de Crédito;2;706;1958-11-01;DF;xptockjH
2011-05-23 09:49:00;199,00;3;MasterCard;Cartão de Crédito;6;711;1977-09-16;AL;xptoddnNCL
2011-06-08 22:45:00;609,00;3;MasterCard;Cartão de Crédito;10;722;1982-04-14;SP;Citi
2011-06-06 15:19:00;269,00;1;Boleto Bancário;Boleto Bancário;1;726;1965-11-03;RS;
2011-02-01 08:21:00;181,00;1;Boleto Bancário;Boleto Bancário;1;726;1965-11-03;RS;
2011-03-18 16:57:00;319,00;1;Boleto Bancário;Boleto Bancário;1;726;1965-11-03;RS;UOLQuadradoPoloPumaVermelha
2011-03-04 16:30:00;232,00;1;Boleto Bancário;Boleto Bancário;1;726;1965-11-03;RS;
2011-08-16 23:47:00;349,00;2;Visa;Cartão de Crédito;5;741;1980-02-06;AL;xptoddpH
2011-05-12 20:05:00;329,00;2;Visa;Cartão de Crédito;3;759;1972-07-08;AL;google
2011-05-13 20:11:00;461,00;2;Visa;Cartão de Crédito;3;759;1972-07-08;AL;google
2011-05-02 04:19:00;145,35;2;Visa;Cartão de Crédito;3;804;1970-10-22;TO;xptosfolder
2011-06-16 10:27:00;84,15;2;Visa;Cartão de Crédito;2;804;1970-10-22;TO;xptosfolder
2011-07-21 20:35:00;115,91;2;Visa;Cartão de Crédito;2;804;1970-10-22;TO;xptosfolder
2011-03-13 16:50:00;249,20;2;Visa;Cartão de Crédito;10;806;1949-05-04;RJ;
2011-02-20 15:17:00;202,00;3;MasterCard;Cartão de Crédito;10;809;1979-04-25;DF;
2011-03-14 01:28:00;195,00;3;MasterCard;Cartão de Crédito;9;809;1979-04-25;DF;
2011-03-14 14:30:00;195,00;3;MasterCard;Cartão de Crédito;9;809;1979-04-25;DF;
2011-03-29 18:02:00;195,00;3;MasterCard;Cartão de Crédito;9;809;1979-04-25;DF;
2011-02-10 17:59:00;170,00;3;MasterCard;Cartão de Crédito;8;809;1979-04-25;DF;
2011-07-01 09:09:00;69,00;3;MasterCard;Cartão de Crédito;0;810;1990-01-19;ES;xptomalaH
2011-07-12 13:40:00;99,00;2;Visa;Cartão de Crédito;1;817;1973-09-19;MG;
2011-07-22 15:14:00;150,30;2;Visa;Cartão de Crédito;1;817;1973-09-19;MG;
2011-07-22 15:18:00;58,30;3;MasterCard;Cartão de Crédito;0;817;1973-09-19;MG;
2011-07-27 19:15:00;109,00;2;Visa;Cartão de Crédito;1;817;1973-09-19;MG;
2011-08-02 20:40:00;256,60;3;MasterCard;Cartão de Crédito;1;817;1973-09-19;MG;mercadolivre
2011-08-15 19:34:00;78,60;2;Visa;Cartão de Crédito;0;817;1973-09-19;MG;mercadolivre
2011-08-09 08:41:00;188,00;2;Visa;Cartão de Crédito;1;817;1973-09-19;MG;mercadolivre
2011-01-25 20:13:00;2283,75;3;MasterCard;Cartão de Crédito;7;825;1977-10-08;MG;
2011-07-20 13:55:00;173,80;3;MasterCard;Cartão de Crédito;4;826;1960-09-26;BA;xptomvopH
2011-07-12 11:36:00;299,00;3;MasterCard;Cartão de Crédito;3;832;1977-10-20;CE;
2011-08-08 13:51:00;400,60;2;Visa;Cartão de Crédito;2;832;1977-10-20;CE;google
2011-01-11 16:46:00;195,00;2;Visa;Cartão de Crédito;2;832;1977-10-20;CE;HiMidia
2011-02-10 14:25:00;390,00;2;Visa;Cartão de Crédito;2;832;1977-10-20;CE;HiMidia
2011-02-11 16:57:00;300,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-03-29 14:29:00;370,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-04-02 14:25:00;319,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-03-24 10:51:00;498,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-03-15 13:48:00;396,25;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;google
2011-03-17 14:33:00;279,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasctsckj
2011-03-21 11:22:00;199,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasctsckj
2011-02-22 17:20:00;492,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-02-17 22:29:00;407,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-02-20 11:54:00;300,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-02-25 20:37:00;301,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-02-27 09:56:00;214,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-03-11 21:00:00;299,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;google
2011-03-06 11:33:00;326,90;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-03-10 15:14:00;397,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;google
2011-03-04 13:05:00;333,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-04-27 17:27:00;165,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-04-13 17:20:00;249,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-04-18 09:32:00;199,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-04-06 10:51:00;389,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;xptoourmasccalcaecintockjutm_medium=Newsletter
2011-08-07 18:40:00;204,60;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-08-14 09:14:00;199,98;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-07-31 11:03:00;362,30;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-07-23 09:41:00;268,60;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-07-03 15:40:00;420,00;1;Boleto Bancário;Boleto Bancário;1;842;1988-07-17;MG;
2011-07-23 11:32:00;133,20;1;Boleto Bancário;Boleto Bancário;1;846;1980-05-26;PE;
2011-08-02 16:12:00;195,50;1;Boleto Bancário;Boleto Bancário;1;846;1980-05-26;PE;xptodcH
2011-08-24 08:32:00;590,58;1;Boleto Bancário;Boleto Bancário;1;846;1980-05-26;PE;xptoprllisaH
2011-05-29 15:18:00;478,00;2;Visa;Cartão de Crédito;10;855;1977-08-23;SP;google
2011-02-25 22:08:00;195,00;3;MasterCard;Cartão de Crédito;9;855;1977-08-23;SP;google
2011-03-19 15:04:00;119,00;3;MasterCard;Cartão de Crédito;5;855;1977-08-23;SP;google
2011-02-13 15:34:00;171,00;3;MasterCard;Cartão de Crédito;1;855;1977-08-23;SP;google
2011-02-06 16:19:00;69,00;3;MasterCard;Cartão de Crédito;3;855;1977-08-23;SP;
2011-02-05 15:01:00;497,00;3;MasterCard;Cartão de Crédito;10;855;1977-08-23;SP;
2011-01-15 21:48:00;207,00;3;MasterCard;Cartão de Crédito;10;855;1977-08-23;SP;
2011-01-22 15:07:00;229,00;3;MasterCard;Cartão de Crédito;10;855;1977-08-23;SP;
2011-01-22 15:25:00;169,00;3;MasterCard;Cartão de Crédito;8;855;1977-08-23;SP;
2011-06-01 09:01:00;274,00;1;Boleto Bancário;Boleto Bancário;1;866;1980-04-23;SP;xptojH
2011-06-06 09:43:00;274,00;1;Boleto Bancário;Boleto Bancário;1;866;1980-04-23;SP;
2011-06-04 09:39:00;274,00;1;Boleto Bancário;Boleto Bancário;1;866;1980-04-23;SP;xptojH
2011-06-09 10:18:00;349,00;3;MasterCard;Cartão de Crédito;3;866;1980-04-23;SP;xptockjprlH
2011-03-04 10:22:00;85,00;2;Visa;Cartão de Crédito;1;879;1975-07-28;SP;
2011-07-01 19:57:00;299,00;1;Boleto Bancário;Boleto Bancário;1;909;1981-01-19;MT;xptosetH
2011-04-27 09:29:00;69,00;2;Visa;Cartão de Crédito;3;933;1968-04-20;SP;xptotop10n
2011-07-04 12:18:00;284,00;2;Visa;Cartão de Crédito;6;946;1987-02-26;PR;
2011-05-16 12:08:00;121,00;1;Boleto Bancário;Boleto Bancário;1;957;1988-02-21;PE;
2011-05-17 10:09:00;121,00;1;Boleto Bancário;Boleto Bancário;1;957;1988-02-21;PE;
2011-01-21 20:18:00;69,00;1;Boleto Bancário;Boleto Bancário;1;975;1984-10-19;SP;
2011-01-24 20:39:00;69,00;1;Boleto Bancário;Boleto Bancário;1;975;1984-10-19;SP;
2011-01-25 11:05:00;69,00;1;Boleto Bancário;Boleto Bancário;1;975;1984-10-19;SP;
2011-07-20 19:15:00;79,30;1;Boleto Bancário;Boleto Bancário;1;975;1984-10-19;SP;
2011-08-14 11:12:00;208,00;1;Boleto Bancário;Boleto Bancário;1;975;1984-10-19;SP;
2011-08-12 20:54:00;109,00;1;Boleto Bancário;Boleto Bancário;1;975;1984-10-19;SP;
2011-08-15 19:32:00;109,00;1;Boleto Bancário;Boleto Bancário;1;975;1984-10-19;SP;
2011-08-26 19:10:00;108,90;1;Boleto Bancário;Boleto Bancário;1;975;1984-10-19;SP;
2011-02-10 17:32:00;90,00;2;Visa;Cartão de Crédito;4;977;1989-11-10;MG;xptoourExtra
2011-02-09 22:50:00;90,00;6;Cupom de Desconto;Cupom;1;977;1989-11-10;MG;xptoourExtra
2011-06-12 11:29:00;449,00;2;Visa;Cartão de Crédito;10;977;1989-11-10;MG;HiMidia
